epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,798.29,1.0032,5.92459,1.37058,0.00195,0.34528,0.00214,0.00156,0.95179,4.67839,1.42558,0.00333111,0.00333111,0.00333111
2,1589.37,1.12783,5.30811,1.45078,0.00338,0.55776,0.0058,0.00405,1.05427,4.12873,1.48262,0.00653248,0.00653248,0.00653248
3,2376.41,1.15538,4.76622,1.40338,0.00535,0.6377,0.01198,0.00842,1.03072,3.89688,1.43069,0.00960186,0.00960186,0.00960186
4,3159.92,1.16416,4.50731,1.38204,0.25094,0.23008,0.02579,0.0183,0.99972,3.54696,1.37691,0.009406,0.009406,0.009406
5,3942.38,1.11425,4.15554,1.33978,0.52085,0.09803,0.04795,0.03498,0.93036,3.21826,1.31816,0.009208,0.009208,0.009208
6,4723.44,1.08677,3.8186,1.3158,0.46668,0.12365,0.0691,0.05128,0.92875,3.02135,1.29779,0.00901,0.00901,0.00901
7,5503.11,1.06366,3.51529,1.29913,0.38091,0.20689,0.10222,0.07596,0.89311,2.7893,1.27121,0.008812,0.008812,0.008812
8,6281.36,1.04537,3.29204,1.2871,0.3642,0.23239,0.12834,0.09716,0.86814,2.65716,1.25507,0.008614,0.008614,0.008614
9,7057.84,1.0294,3.11912,1.27555,0.34043,0.27127,0.15453,0.1165,0.86446,2.53674,1.25653,0.008416,0.008416,0.008416
10,7834.03,1.0199,2.99535,1.27021,0.32489,0.29409,0.18609,0.14151,0.84465,2.40142,1.23464,0.008218,0.008218,0.008218
11,8608.95,1.01272,2.89113,1.26346,0.35081,0.33107,0.22733,0.1736,0.84865,2.27934,1.22682,0.00802,0.00802,0.00802
12,9383.87,1.00146,2.79949,1.25653,0.35337,0.35293,0.25314,0.19438,0.83147,2.18085,1.21946,0.007822,0.007822,0.007822
13,10157.7,0.99685,2.71057,1.25768,0.37501,0.37537,0.29409,0.22589,0.82482,2.06665,1.21491,0.007624,0.007624,0.007624
14,10931.8,0.98339,2.65542,1.24707,0.38537,0.40586,0.33049,0.25571,0.80741,1.9671,1.20235,0.007426,0.007426,0.007426
15,11705,0.97952,2.58929,1.24378,0.38273,0.42044,0.3452,0.26671,0.80806,1.91267,1.20046,0.007228,0.007228,0.007228
16,12477.6,0.96723,2.52095,1.23542,0.40071,0.43831,0.37411,0.28873,0.79637,1.83574,1.19486,0.00703,0.00703,0.00703
17,13250.1,0.96083,2.44825,1.23279,0.4206,0.44621,0.40087,0.3105,0.79372,1.76195,1.19023,0.006832,0.006832,0.006832
18,14021.5,0.96127,2.39552,1.23127,0.43619,0.46568,0.42937,0.33327,0.7888,1.68833,1.18763,0.006634,0.006634,0.006634
19,14792.8,0.95621,2.34688,1.22897,0.4572,0.47806,0.44797,0.34751,0.7857,1.63708,1.18325,0.006436,0.006436,0.006436
20,15563.8,0.94777,2.30502,1.22485,0.46539,0.49066,0.46587,0.36234,0.78163,1.5906,1.18089,0.006238,0.006238,0.006238
21,16334.3,0.94246,2.26082,1.22132,0.48936,0.49641,0.48326,0.37665,0.77623,1.54489,1.177,0.00604,0.00604,0.00604
22,17104.6,0.9409,2.2201,1.22035,0.49692,0.51043,0.49972,0.39008,0.7748,1.5006,1.1745,0.005842,0.005842,0.005842
23,17874.7,0.93091,2.16959,1.21412,0.50247,0.52478,0.51524,0.40262,0.76925,1.46238,1.16946,0.005644,0.005644,0.005644
24,18645.2,0.927,2.1345,1.2131,0.51955,0.5347,0.53013,0.41485,0.76462,1.42518,1.16795,0.005446,0.005446,0.005446
25,19414.9,0.92428,2.09765,1.21168,0.52089,0.54328,0.53989,0.42324,0.76243,1.39736,1.16714,0.005248,0.005248,0.005248
26,20184.4,0.9195,2.06061,1.20859,0.54005,0.54492,0.55343,0.43394,0.762,1.36672,1.16507,0.00505,0.00505,0.00505
27,20953.6,0.9145,2.01811,1.20167,0.53293,0.55557,0.56242,0.44165,0.75859,1.34186,1.16429,0.004852,0.004852,0.004852
28,21723.1,0.91085,1.98268,1.20202,0.54752,0.56104,0.57426,0.45069,0.75752,1.31651,1.16215,0.004654,0.004654,0.004654
29,22492.3,0.90558,1.94778,1.19843,0.55335,0.57449,0.58226,0.45699,0.75712,1.29501,1.16103,0.004456,0.004456,0.004456
30,23261.6,0.90488,1.93449,1.19841,0.56715,0.57355,0.59155,0.46511,0.75353,1.27402,1.15867,0.004258,0.004258,0.004258
31,24031,0.90153,1.9018,1.19387,0.56934,0.58122,0.59975,0.47146,0.75243,1.25392,1.15724,0.00406,0.00406,0.00406
32,24800.1,0.89768,1.86283,1.19316,0.57599,0.58903,0.60698,0.4777,0.75117,1.23623,1.15609,0.003862,0.003862,0.003862
33,25569.1,0.88975,1.83335,1.19191,0.57983,0.5922,0.61255,0.48308,0.74968,1.22159,1.1547,0.003664,0.003664,0.003664
34,26338.4,0.88781,1.81046,1.18589,0.58294,0.59644,0.61847,0.48759,0.74887,1.2072,1.15376,0.003466,0.003466,0.003466
